Query,Base_dir,Frames
One team is in all white and the other is in all blue. This is when the white team is awarded a penalty kick.,L01/V028,25293 25353 25383
"The scene is a stage with opera actors. Below the stage there are many spectators, mostly students wearing red scarves.",L04/V019,8467 8486 8548 8596 8638 8770 9625 9767 9971
A wall with a painting of environmental protection. On the wall is a painting of a dolphin and a sea turtle.,L12/V003,8933 9000 9046
A simulation of a globe. Throughout this video we focus on showing the Antarctic region on this globe.,L03/V006,21663 21976 22043 22244 22245
"The red and white cart was cutting rice in the rice field. There were two people sitting on the cart, the taller one was wearing a red hat.",L06/V028,4384 4681
"Red, yellow, and blue food boxes arranged in the shape of a bear.",L04/V008,16866 16903 16977
"The airport's name tag starts with ""NANTES"".",L01/V013,17598 17633 17670 17738
Several trucks with white boxes and a group of men standing on the trucks waving flags,L02/V011,27777 27848
The exhibition features a painting of a woman applying eye makeup in front of a mirror.,L11/V009,26403 26431
The exhibition features a painting of a woman applying eye makeup in front of a mirror.,L07/V002,10433
Many plants are grown in tires. These plants are planted next to a shop with a Chinese sign.,L02/V027,12494 12556 12557 12586
A horseman rode alongside two people on a motorbike across an open field.,L20/V017,31862 31898
Two children in yellow shirts are sitting on a cyclo. One is at the pedal position and the other is sitting in front.,L07/V004,11321 11350 11380
"During a chess tournament in Ho Chi Minh City, a close-up of ""Table 2"". The scene shows the empty area for the stopwatch between the two chess boards.",L01/V010,4434
A man catches a yellow jellyfish in the sea.,L13/V009 ,21475 21567 22011 22294 22295 22356 22417
A traffic policeman is removing a taxi sign from the roof of an illegally operating taxi.,L01/V021 ,14951
An area decorated with lots of LED lights. There is a person wearing a long coat and glasses taking pictures in the butterfly shaped area.,L06/V024 ,17830
"During the cycling race, the racing team was going through a corner with a sign that read ""70th Anniversary of DIEN BIEN PHU VICTORY"". The word Dien Bien Phu has a rainbow gradient color from right to left.",L23/V001,2355
"A scene of a painting with a green background. On the painting is the word ""BACK VIEW"" written in hand.",L04/V002,17721 17839 18225 18434
"A dress made by piecing together small pieces of fabric, each small piece of fabric shaped like a pair of butterfly wings.",L15/V024,27847 27884 27997 27315 27355
A man in a black shirt with short hair is installing or adjusting a metal panel on the underside of an aircraft.,L09/V001,2025
A white cow model on a parade float during a festival. Smoke is coming out from the cow's nostrils.,L10/V016,18682 18642 18723
In a drone show there was a panda performing in the sky.,L20/V002,16624
"At a location where many people are taking pictures next to a temperature board outside. The top is Fahrenheit, the bottom is Celsius.",L20/V008 ,864 15394 15618 15666 15683 16022 16263 16462 16540
A man is being interviewed at a festival. Behind him is a purple bird-shaped decoration.,L22/V012,21016 20721 20755
A female robot wearing a red and white Christmas hat.,L05/V010 ,798 18446 18523 18601 18702
A white dog wearing a blue crown shaped hat,L14/V023,13781 14003 14050 14237 14285
"A man wearing a Santa Claus hat is taking a picture in front of a blue Christmas tree. The tree has the word Star written on it. On the left of the frame is a woman dressed in black, holding a large gift. In the middle is a blue LED Christmas tree.",L05/V028,1471
"In a city in Europe, there are many decorative cube lights above the streets between the buildings.",L05/V027,23759 23840
"Many girls wearing ao dai, holding conical hats, are standing in the middle of an area with many leaves and lotus flowers. The ao dai have lotus patterns. The fabric used to make ao dai often has a checkered pattern.",L16/V010,9195 9243 9407 9505 9566 10064 10139
A robot is playing a musical instrument by using two sticks in its hands to strike the strings.,L21/V022,25116 25197
There were five people dressed as bananas walking forward holding a banner.,L11/V004,14629 19576 19592 19609 19625
"A bronze statue of a martial artist in a standing pose. The statue depicts a person wearing a martial arts uniform, with both hands gripping the belt. There is a circular badge or logo on the left side of the chest. ",L20/V025,40624 40662 40681 40701 40739
"In a race, several adults drive small, motorless children's cars downhill.",L14/V001,25265 25345 25506 25545 25564 25584 25585 25658 25727 25728 25741 25755 26049 26068 26087 26106 26191 26249 26436 26453 26469 26486 26487 26522 26558 26632 26646 26661 26675 26690 26691 26714 26737 26760 26785 26801 26817 26833 26850 26851 26871 26915 26937 26938 26975 26993
A Japanese monk is sitting next to a square calligraphy frame.,L05/V019,19580 19622
A man is being interviewed in a green raincoat and a conical hat in a flooded area. On the right is a red car with its red and green lights on.,L01/V017,2133 2163
"A female speaker in a white uniform stands behind a podium with the national emblem. On either side are the Thai flag and another flag with a yellow emblem, along with large decorative vases of flowers.",L22/V018,16064
"An outdoor food market with many bustling stalls. The highlight is a large bowl of noodles with long noodles standing upright, surrounded by vegetables and eye-catching toppings. The background is full of people walking around and red tents covering the stalls.",L17/V004,27307 27373 27439
"The photo shows a mural with an image of a dolphin caught in a net swimming in the water, a hand lifting a bag of trash from the ocean, and a message of environmental protection.",L12/V003,9046 9000 8933
"A couple in traditional ao dai are holding hands walking down a paved path in the garden, the woman in a red ao dai with white dots, a turban and holding a bouquet of flowers, while the man is in a blue ao dai with white dots and a turban.",L01/V023,2657
The photo shows a doctor in a white coat and mask pointing at CT scan images on a lighted screen in a medical room. There are cabinets with medical records and equipment around.,L09/V021,10158
"Aerial photo of a busy traffic circle, with a green area in the center designed in the shape of a five-petal flower. Around it, vehicles move densely on the lanes.",L19/V030,480 5155 6458
"In an art gallery, visitors are admiring a painting of a child dressed in white sitting on a donkey against a simple landscape background.",L11/V019,20532 20581 20630 20663
Two mannequins dressed in traditional Vietnamese costumes. The mannequin on the left is wearing a pink ao dai with decorative motifs and a conical hat. The mannequin on the right is wearing a brown ao dai with circular motifs and a turban. In the middle of the two mannequins is a vase of lotus flowers. In the background are decorations including lanterns and traditional objects.,L17/V025,8856
Girl holding flag standing next to blue rhino,L06/V030,31384 31425 31467
"The player wearing number 7 stands on the field, in front of him are 3 men wearing yellow shirts.",L03/V021,23666 23684
A man wearing a hat and glasses is holding a microphone and speaking outdoors. There are many people standing around listening.,L14/V027,14391 14436 14526 14571
"The scene shows a lot of people participating in the festival, some of them are wearing necklaces, hats and holding umbrellas.",L08/V009,16115 16149 16166 16184
"Many people wearing blue uniforms and red life jackets were standing saluting the flag, surrounded by water.",L14/V016,10797 10831 10851
"An outdoor area with four classic cars parked on gravel. The cars are of classic designs, including colors like red, gray, and black, and are neatly arranged. In the background is a building with large glass windows, reflecting the surrounding landscape.",L17/V004,841 853 25172 25332
